ADEME : ADEME
ANDRA : ANDRA
ARMOR : ARMOR
ARaymond : ARaymond
ATAMOS : ATAMOS
ATOS : ATOS
Altran : Altran
Arts & Metiers : Arts & Metiers
Assystem : Assystem
CEA : CEA
CNRS : CNRS
CRG : ESRF
CSEM : CSEM
CSIC : CSIC
Commissariat Energie Atom & Energies Alternat : CEA
DAM : DAM
DEN : DEN
DRF : DRF
ENEA : ENEA
EPFL : EPFL
Ecole Polytech Fed Lausanne : EPFL
European Synchrotron : ESRF
FRAMATOME : FRAMATOME
Fed University : Fed Univ
Forschungszentrum Julich : Julich Institutes
Fraunhofer : FhG Institutes
GmbH : Compagnies
Helmholtz : Helmholtz Institutes
HotBlock OnBoard : HBOB
IBS : IBS
ICAM : ICAM
ICMM : ICMM
IMDEA : IMDEA Institutes
IMEC : IMEC
INAC : INAC
INERIS : INERIS
INES : INES
INP Grenoble : G-INP
INSA : INSA
INiBICA : INiBICA
IPC : IPC
IPVF : IPVF
IRAMIS : IRAMIS
IRCER : IRCER
IREIS : IREIS
IRIG : IRIG
ISEN : ISEN
ITER : ITER
Inst Laue Langevin : ILL
Jozef Stefan Inst : Jozef Stefan Inst 
KIT : KIT
Karlsruhe Inst Technol : KIT
LETI : LETI
LITEN : LITEN
LIST : LIST
LONGi : LONGi
Nanyang Technol University : NTU
Natl Inst Appl Sci : INSA
Nebrija : Nebrija Univ
PELLENC : PELLENC
PROMES : PROMES
Phys Tech Bundesanstalt : PTB Inst
RAGT : RAGT
SILVACO : SILVACO
SOLEIL : SOLEIL
Synchrotron : Synchrotrons
TOTAL : TOTAL-TRTG
TRTG :  TOTAL-TRTG
TU Wien : TU Wien
UCL : UCL
UCLouvain : UCLouvain
UGA : UGA
UMR : CNRS
University : Universities
University Complutense : University Complutense
University Grenoble : UGA
University Lyon : Lyon Universities
University Paris : Paris Universities
University Savoie Mt Blanc : USMB
University Toulouse : Toulouse Universities
VICAT : VICAT
VTT : VTT
