Abylsen : Abylsen
ADEME : ADEME
Agence de l'Environnement et de la Maîtrise de l'Energie : ADEME
ALLIOS : ALLIOS
ALLIOS Les Docks II : ALLIOS
Altran : Altran
ANDRA : ANDRA
ARaymond : ARaymond
ARMOR : ARMOR
Arts & Metiers : Arts & Metiers
Assystem : Assystem
ATAMOS : ATAMOS
ATOS : ATOS
Austrian Inst Technol : Aust Inst Tech
Austrian Institute of Technology : Aust Inst Tech
Bubendorff : Bubendorff
CCIAG : CCIAG
CEA : CEA
CNRS : CNRS
Commissariat Energie Atom & Energies Alternat : CEA
CRG : ESRF
CSEM : CSEM
CSIC : CSIC
CSTB : CSTB
DAM : DAM
DavidsonGrenoble : Davidson
DEN : DEN
DRF : DRF
Ecole Polytech Fed Lausanne : EPFL
Elcogen : Elcogen
ENEA : ENEA
EnergyVille : EnergyVille
Energyville : EnergyVille
EPFL : EPFL
European Synchrotron : ESRF
Fed University : Fed Univ
Forschungszentrum Julich : Julich Institutes
FRAMATOME : FRAMATOME
Fraunhofer : FhG Institutes
GmbH : Compagnies
Grenoble INP : G-INP
Helmholtz : Helmholtz Institutes
HotBlock OnBoard : HBOB
IBS : IBS
ICAM : ICAM
ICMM : ICMM
IMDEA : IMDEA Institutes
IMEC : IMEC
INAC : INAC
INERIS : INERIS
INES : INES
INiBICA : INiBICA
INP Grenoble : G-INP
INSA : INSA
Inst Laue Langevin : ILL
Instituut Voor Kern- en Stralingsfysica : VKS Inst
IPC : IPC
IPVF : IPVF
IRAMIS : IRAMIS
IRCER : IRCER
IREIS : IREIS
IRIG : IRIG
ISEN : ISEN
ITER : ITER
Jozef Stefan Inst : Jozef Stefan Inst 
Karlsruhe Inst Technol : KIT
KIT : KIT
Laboratoire national de métrologie et d'essais (LNE): LNE
Laboratory for Plasma Physics : Plasma Phys Lab
LETI : LETI
LIST : LIST
LITEN : LITEN
LONGi : LONGi
Nanyang Technol University : NTU
National Research Council Canada : Nat Res Council
Natl Inst Appl Sci : INSA
Nebrija : Nebrija Univ
PELLENC : PELLENC
Phys Tech Bundesanstalt : PTB Inst
PROMES : PROMES
RAGT : RAGT
SILVACO : SILVACO
SOLEIL : SOLEIL
Synchrotron : Synchrotrons
TOTAL : TOTAL-TRTG
Toyota Motor Europe : Toyota 
TRTG :  TOTAL-TRTG
TU Wien : TU Wien
UCL : UCL
UCLouvain : UCLouvain
UGA : UGA
Umicore Research : Umicore Res
UMR : CNRS
University : Universities
University Complutense : University Complutense
University Grenoble : UGA
University Lyon : Lyon Universities
University Paris : Paris Universities
University Savoie Mt Blanc : USMB
University Toulouse : Toulouse Universities
VICAT : VICAT
VTT : VTT
