Publication source	ISSN	Npapers
ACS Applied Energy Materials	25740962	6
Physical Review B	24699950	3
2020 22nd European Conference on Power Electronics and Applications, EPE 2020 ECCE Europe		3
Euro PM 2018 Congress and Exhibition		3
Procedia CIRP	22128271	3
Frontiers in Environmental Science	2296665X	2
Proceedings of the ISES Solar World Congress 2019 and IEA SHC International Conference on Solar Heating and Cooling for Buildings and Industry 2019		2
Materialia	25891529	1
Physical Review Materials	24759953	1
Thermal Science and Engineering Progress	24519049	1
6th IEEE International Energy Conference, ENERGYCon 2020		1
Materials Chemistry Frontiers	20521537	1
20th IEEE Mediterranean Electrotechnical Conference, MELECON 2020 - Proceedings		1
Current Opinion in Electrochemistry	24519103	1
Physical Review E	24700045	1
Nanoscale Horizons	20556756	1
Nanomaterials	20794991	1
ECOS 2020 - Proceedings of the 33rd International Conference on Efficiency, Cost, Optimization, Simulation and Environmental Impact of Energy Systems		1
